protype,protype_text,progroup,progroup_text,proname,date,price_range,avg_price
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อสัน สันใน,2025-04-01,180 - 190,185.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อสัน สันใน,2025-04-02,180 - 190,185.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อสัน สันใน,2025-04-03,180 - 190,185.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อสัน สันใน,2025-04-04,180 - 190,185.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อสัน สันนอก,2025-04-01,170 - 180,175.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อสัน สันนอก,2025-04-02,170 - 180,175.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อสัน สันนอก,2025-04-03,170 - 180,175.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อสัน สันนอก,2025-04-04,170 - 180,175.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อแดง สะโพก (ไม่ได้ตัดแต่ง),2025-04-01,150 - 160,155.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อแดง สะโพก (ไม่ได้ตัดแต่ง),2025-04-02,150 - 160,155.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อแดง สะโพก (ไม่ได้ตัดแต่ง),2025-04-03,150 - 160,155.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อแดง สะโพก (ไม่ได้ตัดแต่ง),2025-04-04,150 - 160,155.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อแดง สะโพก (ตัดแต่ง),2025-04-01,165 - 175,170.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อแดง สะโพก (ตัดแต่ง),2025-04-02,165 - 175,170.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อแดง สะโพก (ตัดแต่ง),2025-04-03,165 - 175,170.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อแดง สะโพก (ตัดแต่ง),2025-04-04,165 - 175,170.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อแดง ไหล่ (ไม่ได้ตัดแต่ง),2025-04-01,150 - 160,155.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อแดง ไหล่ (ไม่ได้ตัดแต่ง),2025-04-02,150 - 160,155.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อแดง ไหล่ (ไม่ได้ตัดแต่ง),2025-04-03,150 - 160,155.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อแดง ไหล่ (ไม่ได้ตัดแต่ง),2025-04-04,150 - 160,155.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อแดง ไหล่ (ตัดแต่ง),2025-04-01,165 - 175,170.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อแดง ไหล่ (ตัดแต่ง),2025-04-02,165 - 175,170.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อแดง ไหล่ (ตัดแต่ง),2025-04-03,165 - 175,170.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อแดง ไหล่ (ตัดแต่ง),2025-04-04,165 - 175,170.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อสามชั้น,2025-04-01,200 - 220,210.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อสามชั้น,2025-04-02,200 - 220,210.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อสามชั้น,2025-04-03,200 - 220,210.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ เนื้อสามชั้น,2025-04-04,200 - 220,210.0
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ มันแข็ง,2025-04-01,85 - 100,92.5
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ มันแข็ง,2025-04-02,85 - 100,92.5
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ มันแข็ง,2025-04-03,85 - 100,92.5
1,ขายปลีก,P11000,เนื้อสัตว์,สุกรชำแหละ มันแข็ง,2025-04-04,85 - 100,92.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดทั้งตัว (รวมเครื่องใน),2025-04-01,70 - 75,72.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดทั้งตัว (รวมเครื่องใน),2025-04-02,70 - 75,72.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดทั้งตัว (รวมเครื่องใน),2025-04-03,70 - 75,72.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดทั้งตัว (รวมเครื่องใน),2025-04-04,70 - 75,72.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดทั้งตัว (ไม่รวมเครื่องใน),2025-04-01,75 - 85,80.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดทั้งตัว (ไม่รวมเครื่องใน),2025-04-02,75 - 85,80.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดทั้งตัว (ไม่รวมเครื่องใน),2025-04-03,75 - 85,80.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดทั้งตัว (ไม่รวมเครื่องใน),2025-04-04,75 - 85,80.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ เนื้อสันใน,2025-04-01,90 - 100,95.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ เนื้อสันใน,2025-04-02,90 - 100,95.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ เนื้อสันใน,2025-04-03,90 - 100,95.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ เนื้อสันใน,2025-04-04,90 - 100,95.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ เนื้ออก (เนื้อล้วน),2025-04-01,90 - 95,92.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ เนื้ออก (เนื้อล้วน),2025-04-02,90 - 95,92.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ เนื้ออก (เนื้อล้วน),2025-04-03,90 - 95,92.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ เนื้ออก (เนื้อล้วน),2025-04-04,90 - 95,92.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ เนื้ออก (ติดหนัง),2025-04-01,80 - 85,82.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ เนื้ออก (ติดหนัง),2025-04-02,80 - 85,82.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ เนื้ออก (ติดหนัง),2025-04-03,80 - 85,82.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ เนื้ออก (ติดหนัง),2025-04-04,80 - 85,82.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ น่อง สะโพก,2025-04-01,75 - 85,80.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ น่อง สะโพก,2025-04-02,75 - 85,80.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ น่อง สะโพก,2025-04-03,75 - 85,80.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ น่อง สะโพก,2025-04-04,75 - 85,80.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ น่อง,2025-04-01,75 - 85,80.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ น่อง,2025-04-02,75 - 85,80.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ น่อง,2025-04-03,75 - 85,80.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ น่อง,2025-04-04,75 - 85,80.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ สะโพก,2025-04-01,80 - 90,85.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ สะโพก,2025-04-02,80 - 90,85.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ สะโพก,2025-04-03,80 - 90,85.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ สะโพก,2025-04-04,80 - 90,85.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ ปีก ทั้งปีก (ปีกเต็ม),2025-04-01,95 - 100,97.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ ปีก ทั้งปีก (ปีกเต็ม),2025-04-02,95 - 100,97.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ ปีก ทั้งปีก (ปีกเต็ม),2025-04-03,95 - 100,97.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ ปีก ทั้งปีก (ปีกเต็ม),2025-04-04,95 - 100,97.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ ปีกบน,2025-04-01,80 - 85,82.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ ปีกบน,2025-04-02,80 - 85,82.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ ปีกบน,2025-04-03,80 - 85,82.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ ปีกบน,2025-04-04,80 - 85,82.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ เครื่องใน,2025-04-01,65 - 75,70.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ เครื่องใน,2025-04-02,65 - 75,70.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ เครื่องใน,2025-04-03,65 - 75,70.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ เครื่องใน,2025-04-04,65 - 75,70.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ หนัง,2025-04-01,55 - 65,60.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ หนัง,2025-04-02,55 - 65,60.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ หนัง,2025-04-03,55 - 65,60.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ หนัง,2025-04-04,55 - 65,60.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ แข้ง ขา ตีน,2025-04-01,100 - 120,110.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ แข้ง ขา ตีน,2025-04-02,100 - 120,110.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ แข้ง ขา ตีน,2025-04-03,100 - 120,110.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ แข้ง ขา ตีน,2025-04-04,100 - 120,110.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ โครงกระดูก,2025-04-01,30 - 35,32.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ โครงกระดูก,2025-04-02,30 - 35,32.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ โครงกระดูก,2025-04-03,30 - 35,32.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไก่สดชำแหละ โครงกระดูก,2025-04-04,30 - 35,32.5
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ด ใหญ่,2025-04-01,5.4 - 5.5,5.45
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ด ใหญ่,2025-04-02,5.4 - 5.5,5.45
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ด ใหญ่,2025-04-03,5.4 - 5.5,5.45
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ด ใหญ่,2025-04-04,5.4 - 5.5,5.45
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ด กลาง,2025-04-01,5.1 - 5.2,5.15
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ด กลาง,2025-04-02,5.1 - 5.2,5.15
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ด กลาง,2025-04-03,5.1 - 5.2,5.15
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ด กลาง,2025-04-04,5.1 - 5.2,5.15
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ด เล็ก,2025-04-01,4.9 - 5,4.95
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ด เล็ก,2025-04-02,4.9 - 5,4.95
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ด เล็ก,2025-04-03,4.9 - 5,4.95
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ด เล็ก,2025-04-04,4.9 - 5,4.95
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ดเค็ม ใหญ่,2025-04-01,7.5 - 8,7.75
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ดเค็ม ใหญ่,2025-04-02,7.5 - 8,7.75
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ดเค็ม ใหญ่,2025-04-03,7.5 - 8,7.75
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ดเค็ม ใหญ่,2025-04-04,7.5 - 8,7.75
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ดเค็ม กลาง,2025-04-01,6.5 - 7,6.75
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ดเค็ม กลาง,2025-04-02,6.5 - 7,6.75
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ดเค็ม กลาง,2025-04-03,6.5 - 7,6.75
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่เป็ดเค็ม กลาง,2025-04-04,6.5 - 7,6.75
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 0,2025-04-01,4.5 - 4.7,4.6
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 0,2025-04-02,4.5 - 4.7,4.6
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 0,2025-04-03,4.5 - 4.7,4.6
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 0,2025-04-04,4.5 - 4.7,4.6
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 1,2025-04-01,4.2 - 4.4,4.3
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 1,2025-04-02,4.2 - 4.4,4.3
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 1,2025-04-03,4.2 - 4.4,4.3
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 1,2025-04-04,4.2 - 4.4,4.3
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 2,2025-04-01,3.9 - 4.1,4.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 2,2025-04-02,3.9 - 4.1,4.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 2,2025-04-03,3.9 - 4.1,4.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 2,2025-04-04,3.9 - 4.1,4.0
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 3,2025-04-01,3.6 - 3.8,3.7
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 3,2025-04-02,3.6 - 3.8,3.7
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 3,2025-04-03,3.6 - 3.8,3.7
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 3,2025-04-04,3.6 - 3.8,3.7
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 4,2025-04-01,3.4 - 3.5,3.45
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 4,2025-04-02,3.4 - 3.5,3.45
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 4,2025-04-03,3.4 - 3.5,3.45
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 4,2025-04-04,3.4 - 3.5,3.45
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 5,2025-04-01,3.2 - 3.3,3.25
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 5,2025-04-02,3.2 - 3.3,3.25
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 5,2025-04-03,3.2 - 3.3,3.25
1,ขายปลีก,P11000,เนื้อสัตว์,ไข่ไก่ เบอร์ 5,2025-04-04,3.2 - 3.3,3.25
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค สะโพก,2025-04-01,230 - 250,240.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค สะโพก,2025-04-02,230 - 250,240.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค สะโพก,2025-04-03,230 - 250,240.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค สะโพก,2025-04-04,230 - 250,240.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค สันนอก ,2025-04-01,250 - 270,260.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค สันนอก ,2025-04-02,250 - 270,260.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค สันนอก ,2025-04-03,250 - 270,260.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค สันนอก ,2025-04-04,250 - 270,260.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค สันใน,2025-04-01,280 - 350,315.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค สันใน,2025-04-02,280 - 350,315.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค สันใน,2025-04-03,280 - 350,315.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค สันใน,2025-04-04,280 - 350,315.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค ส่วนน่อง,2025-04-01,220 - 240,230.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค ส่วนน่อง,2025-04-02,220 - 240,230.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค ส่วนน่อง,2025-04-03,220 - 240,230.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค ส่วนน่อง,2025-04-04,220 - 240,230.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค สามชั้น,2025-04-01,200 - 230,215.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค สามชั้น,2025-04-02,200 - 230,215.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค สามชั้น,2025-04-03,200 - 230,215.0
1,ขายปลีก,P11000,เนื้อสัตว์,เนื้อโค สามชั้น,2025-04-04,200 - 230,215.0
1,ขายปลีก,P11000,เนื้อสัตว์,เป็ดสด (ทั้งตัว) ขนาดไซส์ s,2025-04-01,240 - 250,245.0
1,ขายปลีก,P11000,เนื้อสัตว์,เป็ดสด (ทั้งตัว) ขนาดไซส์ s,2025-04-02,240 - 250,245.0
1,ขายปลีก,P11000,เนื้อสัตว์,เป็ดสด (ทั้งตัว) ขนาดไซส์ s,2025-04-03,240 - 250,245.0
1,ขายปลีก,P11000,เนื้อสัตว์,เป็ดสด (ทั้งตัว) ขนาดไซส์ s,2025-04-04,240 - 250,245.0
1,ขายปลีก,P11000,เนื้อสัตว์,เป็ดสด (ทั้งตัว) ขนาดไซส์ M-MM,2025-04-01,270 - 300,285.0
1,ขายปลีก,P11000,เนื้อสัตว์,เป็ดสด (ทั้งตัว) ขนาดไซส์ M-MM,2025-04-02,270 - 300,285.0
1,ขายปลีก,P11000,เนื้อสัตว์,เป็ดสด (ทั้งตัว) ขนาดไซส์ M-MM,2025-04-03,270 - 300,285.0
1,ขายปลีก,P11000,เนื้อสัตว์,เป็ดสด (ทั้งตัว) ขนาดไซส์ M-MM,2025-04-04,270 - 300,285.0
1,ขายปลีก,P11000,เนื้อสัตว์,เป็ดสด (ทั้งตัว) ขนาดไซส์ L,2025-04-01,310 - 320,315.0
1,ขายปลีก,P11000,เนื้อสัตว์,เป็ดสด (ทั้งตัว) ขนาดไซส์ L,2025-04-02,310 - 320,315.0
1,ขายปลีก,P11000,เนื้อสัตว์,เป็ดสด (ทั้งตัว) ขนาดไซส์ L,2025-04-03,310 - 320,315.0
1,ขายปลีก,P11000,เนื้อสัตว์,เป็ดสด (ทั้งตัว) ขนาดไซส์ L,2025-04-04,310 - 320,315.0
1,ขายปลีก,P11000,เนื้อสัตว์,เป็ดสด (ทั้งตัว) ขนาดไซส์ XL,2025-04-01,340 - 370,355.0
1,ขายปลีก,P11000,เนื้อสัตว์,เป็ดสด (ทั้งตัว) ขนาดไซส์ XL,2025-04-02,340 - 370,355.0
1,ขายปลีก,P11000,เนื้อสัตว์,เป็ดสด (ทั้งตัว) ขนาดไซส์ XL,2025-04-03,340 - 370,355.0
1,ขายปลีก,P11000,เนื้อสัตว์,เป็ดสด (ทั้งตัว) ขนาดไซส์ XL,2025-04-04,340 - 370,355.0
1,ขายปลีก,P12000,สัตว์น้ำ,ปลากระพงขาว (0.7-2 กก./ตัว),2025-04-01,180 - 200,190.0
1,ขายปลีก,P12000,สัตว์น้ำ,ปลากระพงขาว (0.7-2 กก./ตัว),2025-04-02,180 - 200,190.0
1,ขายปลีก,P12000,สัตว์น้ำ,ปลากระพงขาว (0.7-2 กก./ตัว),2025-04-03,180 - 200,190.0
1,ขายปลีก,P12000,สัตว์น้ำ,ปลากระพงขาว (0.7-2 กก./ตัว),2025-04-04,180 - 200,190.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (40 ตัว/กก.),2025-04-01,260 - 270,265.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (40 ตัว/กก.),2025-04-02,260 - 270,265.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (40 ตัว/กก.),2025-04-03,250 - 260,255.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (40 ตัว/กก.),2025-04-04,250 - 260,255.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (50 ตัว/กก.),2025-04-01,240 - 250,245.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (50 ตัว/กก.),2025-04-02,240 - 250,245.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (50 ตัว/กก.),2025-04-03,230 - 240,235.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (50 ตัว/กก.),2025-04-04,230 - 240,235.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (60 ตัว/กก.),2025-04-01,220 - 230,225.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (60 ตัว/กก.),2025-04-02,220 - 230,225.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (60 ตัว/กก.),2025-04-03,210 - 220,215.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (60 ตัว/กก.),2025-04-04,210 - 220,215.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (70 ตัว/กก.),2025-04-01,200 - 210,205.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (70 ตัว/กก.),2025-04-02,200 - 210,205.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (70 ตัว/กก.),2025-04-03,190 - 200,195.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (70 ตัว/กก.),2025-04-04,190 - 200,195.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (80 ตัว/กก.),2025-04-01,180 - 190,185.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (80 ตัว/กก.),2025-04-02,180 - 190,185.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (80 ตัว/กก.),2025-04-03,170 - 180,175.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งขาว (80 ตัว/กก.),2025-04-04,170 - 180,175.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งก้ามกรามบ่อเลี้ยงไทย (ขนาดกลาง) 15-16 ตัว/กก.,2025-04-01,450 - 700,575.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งก้ามกรามบ่อเลี้ยงไทย (ขนาดกลาง) 15-16 ตัว/กก.,2025-04-02,450 - 700,575.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งก้ามกรามบ่อเลี้ยงไทย (ขนาดกลาง) 15-16 ตัว/กก.,2025-04-03,450 - 700,575.0
1,ขายปลีก,P12000,สัตว์น้ำ,กุ้งก้ามกรามบ่อเลี้ยงไทย (ขนาดกลาง) 15-16 ตัว/กก.,2025-04-04,450 - 700,575.0
1,ขายปลีก,P12000,สัตว์น้ำ,ปลาหมึกกล้วย คละ,2025-04-01,200 - 250,225.0
1,ขายปลีก,P12000,สัตว์น้ำ,ปลาหมึกกล้วย คละ,2025-04-02,200 - 250,225.0
